itian,val_loss,val_acc,loss,acc
216,0.399601146,0.8826,0.356990683,0.880363433
217,0.420904475,0.8857,0.344263955,0.884386007
218,0.415906971,0.8849,0.339131939,0.885706852
219,0.428439103,0.8894,0.342981321,0.884646174
220,0.429183315,0.8832,0.346696462,0.883185239
221,0.470912364,0.8795,0.344485361,0.883485431
222,0.601807869,0.8676,0.348874104,0.882524816
223,0.437087401,0.882,0.344812255,0.884285943
224,0.459938665,0.8809,0.336167913,0.88568684
225,0.423741057,0.8878,0.348694223,0.883685559
226,0.42987221,0.8774,0.337099738,0.885646814
227,0.476740523,0.88,0.342613914,0.884165866
228,0.44650408,0.8893,0.338705399,0.885506724
229,0.422024565,0.8826,0.339214233,0.884946366
230,0.422116736,0.8872,0.342093695,0.88426593
231,0.494181271,0.8735,0.337278108,0.885526737
232,0.4495802,0.8801,0.342767397,0.884926353
233,0.398017451,0.8949,0.332783975,0.886887608
234,0.447958387,0.8782,0.339923788,0.885086455
235,0.429454323,0.8813,0.333650401,0.888568684
236,0.403869924,0.8887,0.335326005,0.887708133
237,0.438889534,0.8902,0.330785932,0.888168428
238,0.398167661,0.8856,0.332355917,0.886527378
239,0.379323514,0.887,0.338577824,0.885987032
240,0.453656496,0.8821,0.335722548,0.88682757
241,0.476487647,0.8756,0.336365548,0.88682757
242,0.39523663,0.89,0.329914785,0.888528658
243,0.466179567,0.8819,0.331503902,0.888288505
244,0.498781602,0.8728,0.335067856,0.887167787
245,0.452649153,0.8785,0.329461273,0.888048351
246,0.433243185,0.8842,0.331190348,0.889389209
247,0.474813577,0.8789,0.328476859,0.888728786
248,0.423645405,0.889,0.332527471,0.888228466
249,0.420301686,0.8859,0.333227543,0.887788184
250,0.398572622,0.8814,0.333614962,0.886447326
251,0.437691023,0.886,0.330867877,0.886887608
252,0.469610579,0.8821,0.338113583,0.885386647
253,0.473711728,0.8899,0.32905006,0.889449248
254,0.472719573,0.8866,0.331230673,0.887127762
255,0.40127349,0.8792,0.334265491,0.888388569
256,0.413070828,0.8875,0.32685788,0.890810118
257,0.389017533,0.8907,0.318522841,0.892765685
258,0.414203828,0.8874,0.323986156,0.891535874
259,0.438325929,0.8864,0.322462579,0.891770733
260,0.421132742,0.8836,0.322820537,0.889949568
261,0.41331683,0.8943,0.325370322,0.890364917
262,0.459016277,0.8806,0.322153425,0.891255605
263,0.433251995,0.8845,0.326169453,0.889028979
264,0.380667931,0.8974,0.321651608,0.892411143
265,0.42751261,0.893,0.323179615,0.89090509
266,0.443446376,0.8889,0.32380854,0.890009606
267,0.411804427,0.8962,0.329649894,0.888508646
268,0.438252407,0.8884,0.329115019,0.888873318
269,0.462116767,0.8843,0.323200585,0.891730708
270,0.438860076,0.8895,0.321530435,0.890770093
271,0.44306975,0.896,0.319952292,0.89267131
272,0.499700352,0.8836,0.322437463,0.891090298
273,0.402059591,0.8896,0.32674073,0.890870157
274,0.4957617,0.8884,0.320514463,0.890910183
275,0.470632581,0.8791,0.311878465,0.896673871
276,0.462511066,0.8918,0.319725294,0.89140525
277,0.489996975,0.8741,0.320807506,0.894118354
278,0.414357356,0.8868,0.316285111,0.893505922
279,0.403918909,0.8927,0.326977116,0.888933376
